model_1,model_2,layer_1,layer_2,subj_id,n_samples,n_components_source_1,n_components_source_2,n_components_target,pid_method,rng_seed,bias_correction,red,unq1,unq2,syn,bi_mi_1,bi_mi_2,tri_mi
nf_resnet50_classification,hardcorenas_f_classification,141,294,subj01,10000,100,100,100,tilde,56,True,9.296605175523444,0.8301590332355531,1.0007051476829805,1.0559956314170709,10.126764208758999,10.297310323206426,12.18346498785905
nf_resnet50_classification,eca_nfnet_l0_classification,141,134,subj01,10000,100,100,100,tilde,56,True,9.957155225970562,0.16960898863333362,1.6637710602057911,0.9479084371309465,10.126764214603895,11.620926286176353,12.738443711940633
nf_resnet50_classification,resnet50_classification,141,156,subj01,10000,100,100,100,tilde,56,True,9.57133761337461,0.5554266012292839,0.5916208444999427,0.9680096551341357,10.126764214603895,10.162958457874554,11.686394714237974
nf_resnet50_classification,semnasnet_100_classification,141,270,subj01,10000,100,100,100,tilde,56,True,9.565433196430261,0.5613310181736324,0.6923554685077509,1.0122324811023073,10.126764214603895,10.257788664938014,11.831352164213953
nf_resnet50_classification,cspresnet50_classification,141,320,subj01,10000,100,100,100,tilde,56,True,9.915461422920362,0.21130279168353105,0.901006698176392,0.9204258318682896,10.126764214603895,10.816468121096756,11.948196744648577
nf_resnet50_classification,mobilenetv3_large_100_classification,141,252,subj01,10000,100,100,100,tilde,56,True,9.85849056407625,0.2682736505276466,1.2523612632112258,0.9971724725086641,10.126764214603895,11.110851827287474,12.376297950323785
nf_resnet50_classification,ghostnet_100_classification,141,290,subj01,10000,100,100,100,tilde,56,True,9.31644360890429,0.8103206056996068,0.6832179229510196,1.0980135943051827,10.126764214603895,9.999661531855308,11.907995731860098
nf_resnet50_classification,convnext_base_classification,141,273,subj01,10000,100,100,100,tilde,56,True,10.021889349520706,0.10487486508318966,1.9823089900203463,1.0144052192283617,10.126764214603895,12.004198339541052,13.123478423852603
nf_resnet50_classification,xcit_nano_12_p8_224_classification,141,266,subj01,10000,100,100,100,tilde,56,True,9.116954339694358,1.0098098749095357,0.6429233517929394,1.0602403257164514,10.126764214603895,9.759877691487299,11.829927892113286
nf_resnet50_classification,xcit_nano_12_p16_224_classification,141,242,subj01,10000,100,100,100,tilde,56,True,8.999805546514537,1.1269586680893564,0.7548347038279317,1.0474698375175677,10.126764214603895,9.75464025034247,11.929068755949395
nf_resnet50_classification,swin_large_patch4_window7_224_classification,141,281,subj01,10000,100,100,100,tilde,56,True,9.584778433440968,0.5419857811629267,1.3883717922209424,1.0912663790993893,10.126764214603895,10.973150225661911,12.606402385924227
nf_resnet50_classification,jx_nest_tiny_classification,141,148,subj01,10000,100,100,100,tilde,56,True,9.724697978705107,0.4020662358987881,1.2323801736155087,1.104664483707106,10.126764214603895,10.957078152320616,12.46380887192651
nf_resnet50_classification,pit_ti_224_classification,141,207,subj01,10000,100,100,100,tilde,56,True,9.333813345172171,0.7929508694317242,1.1322257751418974,1.0547265236440708,10.126764214603895,10.466039120314068,12.313716513389863
nf_resnet50_classification,vit_base_patch32_224_classification,141,218,subj01,10000,100,100,100,tilde,56,True,9.110508908689603,1.0162553059142923,0.5540117749344446,1.2206311072317284,10.126764214603895,9.664520683624048,11.901407096770068
nf_resnet50_classification,vit_base_patch16_224_classification,141,197,subj01,10000,100,100,100,tilde,56,True,9.358999913412287,0.76776430119161,0.787269862653563,1.136371797187607,10.126764214603895,10.146269776065848,12.050405874445065
nf_resnet50_classification,tnt_s_patch16_224_classification,141,198,subj01,10000,100,100,100,tilde,56,True,9.020740571087154,1.1060236435167408,0.6193086983585996,1.051375446006018,10.126764214603895,9.640049269445754,11.797448358968513
