row_model,RN101_clip,RN50_clip,ResNet50-ClusterFit-16K-RotNet_selfsupervised,ResNet50-DeepClusterV2-2x224_selfsupervised,ResNet50-MoCoV2-BS256_selfsupervised,ResNet50-PIRL_selfsupervised,ResNet50-SimCLR_selfsupervised,ResNet50-SwAV-BS4096-2x224_selfsupervised,coat_lite_tiny_classification,convit_base_classification,convnext_base_classification,crossvit_base_240_classification,cspresnet50_classification,deit_base_patch16_224_classification,dino_vitb16_selfsupervised,eca_nfnet_l0_classification,ghostnet_100_classification,hardcorenas_f_classification,jx_nest_tiny_classification,levit_128_classification,mobilenetv3_large_100_classification,nf_resnet50_classification,pit_ti_224_classification,resnet50_classification,semnasnet_100_classification,swin_large_patch4_window7_224_classification,tnt_s_patch16_224_classification,visformer_small_classification,vit_base_patch16_224_classification,vit_base_patch32_224_classification,xcit_nano_12_p16_224_classification,xcit_nano_12_p8_224_classification
RN101_clip,0.0,0.0,2.030077305103757,0.5706346175618613,0.9661502711723138,1.4055231506299035,0.4546975150535388,0.996566696315508,0.2344986395895709,0.727197655337072,0.0,0.739144230455544,0.6728023341145111,0.6925480773900397,2.423119394635901,0.0,1.00877405899978,1.199934128106122,0.1579551431032761,0.9440518380010054,0.7453389847662812,1.192906831702743,0.4222580808777749,1.109835331354983,1.1723085405404063,0.4183281709798123,1.317899660589262,0.3278700673297123,1.1437969642002803,1.224339305138983,1.3222387234553672,1.3250892000980592
RN50_clip,0.2798793205490391,0.0,2.3099566256528137,0.8505139381109181,1.2460295917213706,1.6854024711789606,0.7345768356025957,1.2764460168645648,0.5143779601385887,1.0070769758860898,0.0,1.0190235510046008,0.952681654663568,0.9724273979390964,2.7029987151849584,0.0,1.2886533795488369,1.4798134486551788,0.437834463652333,1.2239311585500232,1.025218305315338,1.4727861522517998,0.7021374014268318,1.3897146519040398,1.4521878610894632,0.6982074915288692,1.597778981138319,0.6077493878787301,1.4236762847493374,1.50421862568804,1.602118044004424,1.604968520647116
ResNet50-ClusterFit-16K-RotNet_selfsupervised,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0248392392163508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ResNet50-DeepClusterV2-2x224_selfsupervised,0.0,0.0,1.4594426875418811,0.0,0.3955156536104383,0.8348885330680282,0.0,0.4259320787536325,0.0,0.1565630377751929,0.0,0.1685096128936685,0.1021677165526355,0.1219134598281641,1.852484777074026,0.0,0.4381394414379045,0.6292995105442465,0.0,0.3734172204391264,0.1747043672044057,0.6222722141408674,0.0,0.5392007137931074,0.6016739229785308,0.0323760347941011,0.7472650430273866,0.0,0.573162346638405,0.6537046875771075,0.7516041058934917,0.7544545825361837
ResNet50-MoCoV2-BS256_selfsupervised,0.0,0.0,1.0639270339314253,0.0,0.0,0.4393728794576113,0.0,0.0304164251431764,0.0,0.0,0.0,0.0,0.0,0.0,1.929884275119611,0.0,0.0469513730031145,0.2337838569338117,0.0,0.0623882430511191,0.0,0.2267565605304327,0.0,0.1436850601826726,0.2061582693680961,0.0173344718405559,0.3517493894169519,0.0,0.1776466930279703,0.2581890339666728,0.3560884522830569,0.3589389289257489
ResNet50-PIRL_selfsupervised,0.0,0.0,0.6245541544738318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.300424581502388,0.0,0.0317910988751766,0.0341292250755778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ResNet50-SimCLR_selfsupervised,0.0,0.0,1.5753797900502289,0.1159371025083331,0.5114527561187856,0.9508256355763756,0.0,0.5418691812619798,0.0,0.2725001402835154,0.0,0.2844467154020158,0.2181048190609829,0.2378505623365114,1.9684218795823731,0.0,0.5540765439462518,0.7452366130525938,0.0,0.4893543229474488,0.290641469712753,0.7382093166492147,0.0,0.6551378163014547,0.7176110254868782,0.258133281221669,0.8632021455357339,0.0,0.6890994491467524,0.7696417900854549,0.867541208401839,0.870391685044531
ResNet50-SwAV-BS4096-2x224_selfsupervised,0.0,0.0,1.0335106087882666,0.0,0.0,0.4089564543144135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.426552698320411,0.0,0.0122073626842897,0.2033674317906317,0.0,0.0,0.0,0.1963401353872527,0.0,0.1132686350394927,0.1757418442249161,0.0,0.3213329642737719,0.0,0.1472302678847903,0.2277726088234928,0.325672027139877,0.328522503782569
coat_lite_tiny_classification,0.0,0.0,1.7955786655142036,0.3361359779723081,0.7316516315827606,1.1710245110403503,0.2201988754639856,0.7620680567259548,0.0,0.492699015747494,0.0,0.5046455908659908,0.4383036945249579,0.4580494378004864,2.1886207550463483,0.0,0.7742754194102268,0.9654354885165688,0.0,0.7095531984114167,0.510840345176728,0.9584081921131896,0.1877594412882217,0.8753366917654297,0.9378099009508531,0.1838295313902591,1.083401020999709,0.0933714277401271,0.9092983246107272,0.9898406655494298,1.087740083865814,1.090590560508506
convit_base_classification,0.0,0.0,1.3028796497667026,0.0,0.2389526158352595,0.6783254952928495,0.0,0.2693690409784537,0.0,0.0,0.0,0.0119465751184897,0.0,0.0,1.81951580179165,0.0,0.2815764036627257,0.4727364727690677,0.0,0.2168541826639405,0.0727207220699597,0.4657091763656886,0.0,0.3826376760179286,0.445110885203352,0.0,0.5907020052522078,0.0,0.4165993088632262,0.4971416498019287,0.5950410681183129,0.5978915447610049
